Change Component Description : Designator=J1 Old Description=USB Connector, 16 Contact(s), Male, Right Angle, Surface Mount Terminal, Locking, Receptacle New Description=C42400246
Change component parameters: Designator = "J1" ("J1"); Footprint = "GCT_USB4110GFA"; UniqueID = "\MHTKKKIK" ("\MHTKKKIK")
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.02inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Working Voltage"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=U2(SOT23-6L_STM)
Add component (AddParameter): Name = "Breakdown Voltage"; Value = "6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "3.5pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "TVS Diodes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Clamping Voltage"; Value = "17V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Clamping Voltage-Max"; Value = "17V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/1268/1690354-1268384.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/1268/1690354-1268384.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/4508/cd00050750-113117-4508433.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/4508/cd00050750-113117-4508433.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/41444/001184109-da-01-en-ic-esd-protecti-usblc6-2sc6-sot-23-6-stm-41444156.pdf?src-supplier=Conrad"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/41444/001184109-da-01-en-ic-esd-protecti-usblc6-2sc6-sot-23-6-stm-41444156.pdf?src-supplier=Conrad"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Data Rate"; Value = "480Mbps"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "1.75mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Direction"; Value = "Unidirectional,Bidirectional"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESD Protection"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.3mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LCSC"; Value = "C5250994"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "150nA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3.05mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "USBLC6-2SC6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Breakdown Voltage"; Value = "6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°∆C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Repetitive Reverse Voltage (Vrrm)"; Value = "5.25V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Reverse Leakage Current"; Value = "150nA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Breakdown Voltage"; Value = "6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°∆C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Bidirectional Channels"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Voltage"; Value = "1.1V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Pulse Current"; Value = "5A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Unidirectional,Bidirectional"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Line Protection"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.36, 10=0.243, 100=0.163, 500=0.127, 1000=0.114, 3000=0.09, 6000=0.084, 9000=0.078, 15000=0.077, 21000=0.0755, 30000=0.075 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reach SVHC Compliant"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Breakdown Voltage"; Value = "6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Standoff Voltage"; Value = "5.25V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "USB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "85420"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "497-5235-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Current"; Value = "1mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.75mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Working Voltage"; Value = "5V"; VariantName = "[No Variations]"
Added Component: Designator=X1(CRYSTAL-SMD_L5.0-W3.2)
Add component (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20240329/44922B0AF7B60E58E9B66993B6077277.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device"; Value = "X50328MSB2GI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency Stability"; Value = "°æ20ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "JLCPCB Part Class"; Value = "Basic Part"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LCSC Part Name"; Value = "YSX530GA 8MHZ 2P 5032 20PF °æ10PPM -40~85°… (°æ20PPM)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Load Capacitance"; Value = "20pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "YXC(??Ô‹Ú…)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part"; Value = "X50328MSB2GI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Normal temperature Frequency Tolerance"; Value = "°æ10ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-40°…~+85°…"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Footprint"; Value = "SMD5032"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part"; Value = "C115962"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Symbol"; Value = "X50328MSB2GI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Surface Mount Crystal"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "8MHz"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C1-2
Added Pin To Net: NetName=GND Pin=C2-2
Added Pin To Net: NetName=GND Pin=J1-A1/B12
Added Pin To Net: NetName=GND Pin=J1-B1/A12
Added Pin To Net: NetName=GND Pin=J1-S1
Added Pin To Net: NetName=GND Pin=J1-S2
Added Pin To Net: NetName=GND Pin=J1-S3
Added Pin To Net: NetName=GND Pin=J1-S4
Added Pin To Net: NetName=GND Pin=R1-2
Added Pin To Net: NetName=GND Pin=R2-1
Added Pin To Net: NetName=GND Pin=U2-2
Added Net: Name=GND
Added Pin To Net: NetName=NetC1_1 Pin=C1-1
Added Pin To Net: NetName=NetC1_1 Pin=U1-2
Added Pin To Net: NetName=NetC1_1 Pin=X1-2
Added Net: Name=NetC1_1
Added Pin To Net: NetName=NetC2_1 Pin=C2-1
Added Pin To Net: NetName=NetC2_1 Pin=U1-3
Added Pin To Net: NetName=NetC2_1 Pin=X1-1
Added Net: Name=NetC2_1
Added Pin To Net: NetName=NetJ1_A4/B9 Pin=J1-A4/B9
Added Pin To Net: NetName=NetJ1_A4/B9 Pin=J1-B4/A9
Added Net: Name=NetJ1_A4/B9
Added Pin To Net: NetName=NetJ1_A5 Pin=J1-A5
Added Pin To Net: NetName=NetJ1_A5 Pin=R1-1
Added Net: Name=NetJ1_A5
Added Pin To Net: NetName=NetJ1_B5 Pin=J1-B5
Added Pin To Net: NetName=NetJ1_B5 Pin=R2-2
Added Net: Name=NetJ1_B5
Added Pin To Net: NetName=USBD+ Pin=J1-A6
Added Pin To Net: NetName=USBD+ Pin=J1-B6
Added Pin To Net: NetName=USBD+ Pin=U2-1
Added Net: Name=USBD+
Added Pin To Net: NetName=USBD- Pin=J1-A7
Added Pin To Net: NetName=USBD- Pin=J1-B7
Added Pin To Net: NetName=USBD- Pin=U2-3
Added Net: Name=USBD-
Added Member To Class: ClassName=coaster Member=Component C1 C10
Added Member To Class: ClassName=coaster Member=Component C2 C10
Added Member To Class: ClassName=coaster Member=Component R1 5K1
Added Member To Class: ClassName=coaster Member=Component R2 5K1
Added Member To Class: ClassName=coaster Member=Component U2 USBLC6
Added Member To Class: ClassName=coaster Member=Component X1 8MHz
