Removed Member From Class: ClassName=main Member=J4
Change component parameters: Designator = "J1" ("J1"); Footprint = "SAMTEC_SSW-120-01-G-D-LL"; UniqueID = "\HWLPHBJN" ("\HWLPHBJN")
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "RMCF1206FT220R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF1206FT220RTR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "R25" ("R25"); Footprint = "STA_RMCF1206_STP-L"; UniqueID = "\HQDMFBRQ" ("\HQDMFBRQ")
Change component parameters (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2025 Ultra Librarian. All rights reserved."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Stackpole International"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "RMCF1206FT220R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF1206FT220RTR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "R26" ("R26"); Footprint = "STA_RMCF1206_STP-L"; UniqueID = "\NUTOEBKF" ("\NUTOEBKF")
Change component parameters (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2025 Ultra Librarian. All rights reserved."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Stackpole International"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "RMCF1206FT220R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF1206FT220RTR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "R29" ("R29"); Footprint = "STA_RMCF1206_STP-L"; UniqueID = "\QOJHSOSS" ("\QOJHSOSS")
Change component parameters (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2025 Ultra Librarian. All rights reserved."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Stackpole International"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "RMCF1206FT220R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF1206FT220RTR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=J23(HARWIN_M20-9990246)
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/M20-9990246/Harwin/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Harwin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "M20-9990246"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/M20-9990246/Harwin/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "952-2262-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=L2(COIL_PLANNER_A)
Added Pin To Net: NetName=Quantam_Ant Pin=J4-2
Added Pin To Net: NetName=GND Pin=J23-1
Added Pin To Net: NetName=NetJ4_1 Pin=J4-1
Added Pin To Net: NetName=NetJ4_1 Pin=L2-1
Added Net: Name=NetJ4_1
Added Pin To Net: NetName=NetJ23_2 Pin=J23-2
Added Pin To Net: NetName=NetJ23_2 Pin=L2-2
Added Net: Name=NetJ23_2
Added Member To Class: ClassName=Cosmic Member=Component J4 M20-9990246
Added Member To Class: ClassName=Cosmic Member=Component J23 M20-9990246
Added Member To Class: ClassName=Cosmic Member=Component L2 COIL_PLANNER_A
