Removed Pin From Net: NetName=NetJ6_1 Pin=U10-6
Removed Pin From Net: NetName=NetJ6_2 Pin=U10-7
Removed Pin From Net: NetName=+5 Pin=U11-1
Removed Pin From Net: NetName=+3V3 Pin=U11-20
Removed Member From Class: ClassName=main Member=U3
Removed Member From Class: ClassName=main Member=U9
Change Component Footprint: Designator=U2 Old Footprint=CJMCU_GSR New Footprint=OPTOCOUPLER_H11F3SR2M
Change Component Footprint: Designator=U3 Old Footprint=DIL08 New Footprint=OPTOCOUPLER_H11F3SR2M
Change Component Comment : Designator=U2 Old Comment=GSR_CJMCU New Comment=H11F1SM
Change Component Comment : Designator=U3 Old Comment=HCPL-2232 New Comment=H11F1SM
Change component parameters: Designator = "U2" ("U2"); Footprint = "CJMCU_GSR"; UniqueID = "\IXXEVSYD" ("\IXXEVSYD")
Add component (AddParameter): Name = "Rated Current"; Value = "3A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Withstanding Voltage"; Value = "500V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Working Voltage"; Value = "250V"; VariantName = "[No Variations]"
Added Component: Designator=Q3(SOT95P240X111-3N)
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/MMBT3904LT1G/Onsemi/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "MMBT3904LT1G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "SOT-23-3 ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/MMBT3904LT1G/Onsemi/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R10(STA_RMCF1206_STP-L)
Add component (AddParameter): Name = "Case/Package"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English&src-supplier=Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English&src-supplier=Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&amp;DocNm=1773204-3&amp;DocType=DS&amp;DocLang=English&src-supplier=Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&amp;DocNm=1773204-3&amp;DocType=DS&amp;DocLang=English&src-supplier=Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.octopart.com/CRGCQ1206F2K2-TE-Connectivity-datasheet-114679081.pdf?src-supplier=Master+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.octopart.com/CRGCQ1206F2K2-TE-Connectivity-datasheet-114679081.pdf?src-supplier=Master+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "650um"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CRGCQ1206F2K2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Voltage"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "250mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.046, 100=0.0242, 1000=0.01451, 2500=0.01234 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "2.2kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "205224"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "A129814CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "200V"; VariantName = "[No Variations]"
Added Component: Designator=R11(STA_RMCF1206_STP-L)
Add component (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2025 Ultra Librarian. All rights reserved."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Stackpole International"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "RMCF1206FT220R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R12(STA_RMCF1206_STP-L)
Add component (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2025 Ultra Librarian. All rights reserved."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Stackpole International"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "RMCF1206FT220R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R13(STA_RMCF1206_STP-L)
Add component (AddParameter): Name = "Case/Package"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English&src-supplier=Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English&src-supplier=Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&amp;DocNm=1773204-3&amp;DocType=DS&amp;DocLang=English&src-supplier=Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&amp;DocNm=1773204-3&amp;DocType=DS&amp;DocLang=English&src-supplier=Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.octopart.com/CRGCQ1206F2K2-TE-Connectivity-datasheet-114679081.pdf?src-supplier=Master+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.octopart.com/CRGCQ1206F2K2-TE-Connectivity-datasheet-114679081.pdf?src-supplier=Master+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "650um"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CRGCQ1206F2K2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Voltage"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "250mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.046, 100=0.0242, 1000=0.01451, 2500=0.01234 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "2.2kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "205224"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "A129814CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "200V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "200V"; VariantName = "[No Variations]"
Added Component: Designator=R14(STA_RMCF1206_STP-L)
Add component (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2025 Ultra Librarian. All rights reserved."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Stackpole International"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "RMCF1206FT220R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=J1-06
Added Pin To Net: NetName=GND Pin=J7-1
Added Pin To Net: NetName=+5 Pin=J8-1
Added Pin To Net: NetName=+3V3 Pin=J9-1
Added Pin To Net: NetName=+5 Pin=J10-1
Added Pin To Net: NetName=GND Pin=J10-10
Added Pin To Net: NetName=GND2 Pin=J11-2
Added Pin To Net: NetName=GND2 Pin=PS1-4
Added Pin To Net: NetName=GND Pin=Q3-2
Added Pin To Net: NetName=+5 Pin=R10-1
Added Pin To Net: NetName=NetJ6_2 Pin=U2-4
Added Pin To Net: NetName=NetJ6_1 Pin=U3-4
Added Pin To Net: NetName=GND2 Pin=U4-5
Added Pin To Net: NetName=GND2 Pin=U5-2
Added Pin To Net: NetName=2A2_Q41 Pin=A2-D6
Added Pin To Net: NetName=2A2_Q41 Pin=J7-8
Added Pin To Net: NetName=2A2_Q41 Pin=R9-1
Added Net: Name=2A2_Q41
Added Pin To Net: NetName=2B2_Q42 Pin=A2-D9
Added Pin To Net: NetName=2B2_Q42 Pin=J7-11
Added Pin To Net: NetName=2B2_Q42 Pin=R8-1
Added Net: Name=2B2_Q42
Added Pin To Net: NetName=B1_00 Pin=J7-10
Added Net: Name=B1_00
Added Pin To Net: NetName=B1_01 Pin=J7-9
Added Net: Name=B1_01
Added Pin To Net: NetName=CS1 Pin=J7-2
Added Net: Name=CS1
Added Pin To Net: NetName=EMC_04 Pin=J7-4
Added Net: Name=EMC_04
Added Pin To Net: NetName=EMC_05 Pin=J7-5
Added Net: Name=EMC_05
Added Pin To Net: NetName=EMC_06 Pin=J7-6
Added Net: Name=EMC_06
Added Pin To Net: NetName=EMC_08 Pin=J7-7
Added Net: Name=EMC_08
Added Pin To Net: NetName=GSR_CS Pin=J11-4
Added Pin To Net: NetName=GSR_CS Pin=U4-6
Added Net: Name=GSR_CS
Added Pin To Net: NetName=GSR_MISO Pin=J11-5
Added Pin To Net: NetName=GSR_MISO Pin=R11-1
Added Net: Name=GSR_MISO
Added Pin To Net: NetName=GSR_OUT Pin=J11-3
Added Net: Name=GSR_OUT
Added Pin To Net: NetName=GSR_SCK Pin=J11-6
Added Pin To Net: NetName=GSR_SCK Pin=U4-7
Added Net: Name=GSR_SCK
Added Pin To Net: NetName=GSR_VDD Pin=J11-1
Added Pin To Net: NetName=GSR_VDD Pin=PS1-5
Added Pin To Net: NetName=GSR_VDD Pin=U4-8
Added Net: Name=GSR_VDD
Added Pin To Net: NetName=MISO1 Pin=J7-3
Added Net: Name=MISO1
Added Pin To Net: NetName=MOSI1 Pin=J7-18
Added Net: Name=MOSI1
Added Pin To Net: NetName=NetJ9_10 Pin=J9-10
Added Pin To Net: NetName=NetJ9_10 Pin=R10-2
Added Net: Name=NetJ9_10
Added Pin To Net: NetName=NetQ3_1 Pin=Q3-1
Added Pin To Net: NetName=NetQ3_1 Pin=R13-2
Added Net: Name=NetQ3_1
Added Pin To Net: NetName=NetQ3_3 Pin=Q3-3
Added Pin To Net: NetName=NetQ3_3 Pin=R12-2
Added Pin To Net: NetName=NetQ3_3 Pin=R14-2
Added Net: Name=NetQ3_3
Added Pin To Net: NetName=NetR11_2 Pin=R11-2
Added Pin To Net: NetName=NetR11_2 Pin=U5-1
Added Net: Name=NetR11_2
Added Pin To Net: NetName=NetR12_1 Pin=R12-1
Added Pin To Net: NetName=NetR12_1 Pin=U2-2
Added Net: Name=NetR12_1
Added Pin To Net: NetName=NetR14_1 Pin=R14-1
Added Pin To Net: NetName=NetR14_1 Pin=U3-2
Added Net: Name=NetR14_1
Added Pin To Net: NetName=NetU2_1 Pin=U2-1
Added Pin To Net: NetName=NetU2_1 Pin=U3-1
Added Net: Name=NetU2_1
Added Pin To Net: NetName=NetU2_6 Pin=U2-6
Added Pin To Net: NetName=NetU2_6 Pin=U10-6
Added Net: Name=NetU2_6
Added Pin To Net: NetName=NetU3_6 Pin=U3-6
Added Pin To Net: NetName=NetU3_6 Pin=U10-7
Added Net: Name=NetU3_6
Added Pin To Net: NetName=RPI_CE0 Pin=J1-24
Added Pin To Net: NetName=RPI_CE0 Pin=J10-5
Added Net: Name=RPI_CE0
Added Pin To Net: NetName=RPI_MISO Pin=J1-21
Added Pin To Net: NetName=RPI_MISO Pin=J10-3
Added Net: Name=RPI_MISO
Added Pin To Net: NetName=RPI_MOSI Pin=J1-19
Added Pin To Net: NetName=RPI_MOSI Pin=J10-2
Added Net: Name=RPI_MOSI
Added Pin To Net: NetName=RPI_SCK Pin=J1-23
Added Pin To Net: NetName=RPI_SCK Pin=J10-4
Added Net: Name=RPI_SCK
Added Pin To Net: NetName=SCK1 Pin=J7-19
Added Net: Name=SCK1
Added Pin To Net: NetName=STIMU_ON Pin=R13-1
Added Net: Name=STIMU_ON
Added Pin To Net: NetName=TEENSY_3v3 Pin=J8-2
Added Net: Name=TEENSY_3v3
Added Pin To Net: NetName=TEENSY_CS0 Pin=J7-12
Added Pin To Net: NetName=TEENSY_CS0 Pin=J9-5
Added Net: Name=TEENSY_CS0
Added Pin To Net: NetName=TEENSY_MISO0 Pin=J7-14
Added Pin To Net: NetName=TEENSY_MISO0 Pin=J9-3
Added Net: Name=TEENSY_MISO0
Added Pin To Net: NetName=TEENSY_MOSI0 Pin=J7-13
Added Pin To Net: NetName=TEENSY_MOSI0 Pin=J9-2
Added Net: Name=TEENSY_MOSI0
Added Pin To Net: NetName=TEENSY_SCK0 Pin=J8-14
Added Pin To Net: NetName=TEENSY_SCK0 Pin=J9-4
Added Net: Name=TEENSY_SCK0
Added Member To Class: ClassName=main Member=Component J7 PPPC241LFBN-RC
Added Member To Class: ClassName=main Member=Component J8 PPPC241LFBN-RC
Added Member To Class: ClassName=main Member=Component J9 PPTC101LFBN-RC
Added Member To Class: ClassName=main Member=Component J10 PPTC101LFBN-RC
Added Member To Class: ClassName=GSR Member=Component J11 61300611821
Added Member To Class: ClassName=GSR Member=Component Q3 MMBT3904LT1G
Added Member To Class: ClassName=main Member=Component R10 CRGCQ1206F2K2
Added Member To Class: ClassName=main Member=Component R11 RMCF1206FT220R
Added Member To Class: ClassName=GSR Member=Component R12 RMCF1206FT220R
Added Member To Class: ClassName=GSR Member=Component R13 CRGCQ1206F2K2
Added Member To Class: ClassName=GSR Member=Component R14 RMCF1206FT220R
Added Member To Class: ClassName=GSR Member=Component U3 H11F1SM
